Expt'l Mr (Da)	I	RT
33060.2249	6240	42
15065.8944	6235	30
12644.6977	6228	27.5
24876.1547	6203	43.5
19958.0135	6188	31
16132.1885	6187	20.5
32951.5749	6176	31
14067.8782	6171	31.5
25905.2993	6166	25
32729.7338	6156	35.5
24029.7496	6138	30.5
18941.9347	6130	28.5
15347.5275	6129	36.5
12952.1643	6098	25.5
41691.7955	6071	39.5
30886.775	6035	28.5
15229.3568	6023	22.5
25861.3336	6013	26
32978.2504	6005	41.5
8635.4411	6004	26
20888.8158	6003	22
21877.9214	6000	33.5
16090.1783	5983	20.5
20749.9043	5944	24
10925.4146	5940	32.5
21916.8779	5906	35
18799.2841	5877	37.5
16132.1835	5876	21
21954.1288	5870	29.5
9273.0198	5842	11.5
18917.3856	5839	28.5
10094.7336	5836	31
10924.9053	5833	32.5
11992.9	5830	30.5
13850.5308	5824	32.5
18330.9678	5818	22
20719.156	5809	20
17083.8995	5783	34
30031.8338	5779	38
43316.199	5773	36
16366.3637	5766	32.5
13821.5331	5754	31.5
21252.2949	5751	24
23750.5615	5750	39
8521.4707	5726	34
20896.788	5693	21.5
23966.7742	5691	31
14086.5547	5687	34
4366.0097	5686	35
23790.5564	5686	39
22467.9285	5683	23
4665.6392	5683	31
20884.4087	5672	36.5
10094.2301	5660	31
24099.7164	5644	30.5
13216.4235	5611	20.5
5782.0458	5598	17.5
20823.8786	5595	23
29794.7218	5570	30
16404.3488	5525	32
12343.7886	5520	15
17768.5786	5518	29.5
41879.8573	5515	40.5
20828.208	5512	23.5
8520.9715	5512	34
34431.3172	5509	24.5
18454.5249	5504	44
21844.9297	5489	33.5
16365.8635	5472	32.5
17204.728	5461	35.5
10431.2189	5455	36.5
15102.2577	5442	23
18835.2652	5439	38
16852.586	5437	37
13908.5156	5418	20
15675.6958	5417	19
9384.1782	5376	11.5
10904.9721	5371	35
9238.9928	5370	11.5
18778.3079	5352	37.5
30951.7565	5351	27.5
29695.9029	5345	39
11992.3992	5330	31
11402.3644	5328	31
13850.5255	5326	32
6875.2776	5324	32
9384.1818	5320	11
32887.6858	5308	33
28195.8986	5289	42
30006.9665	5249	29
30003.0282	5227	30.5
28415.491	5193	32
12913.1846	5181	25.5
18737.3616	5163	37
21908.9146	5134	33
10904.4842	5134	35
33080.2083	5111	42
18689.3875	5109	40
26022.2938	5093	26
20906.9435	5088	40.5
12155.8706	5087	21
32889.6618	5070	32
21726.816	5067	28.5
36526.1257	5067	41
20823.8803	5058	21.5
17746.5866	5050	29
13803.5285	5047	32.5
6875.7749	5046	32
14088.8674	5043	31
17075.8928	5038	33.5
4365.8239	5036	35
17104.8759	5029	33.5
4665.2877	5022	31
17869.8534	5016	30.5
10537.5374	5015	12
6883.7734	4999	32
13630.6923	4956	25.5
12531.632	4948	27.5
15348.0998	4938	30
20907.4444	4937	40.5
30872.7991	4927	28
14411.5187	4909	22
4664.968	4906	31
20841.8721	4905	22
23566.4154	4905	23
19961.0335	4896	34
24908.1559	4893	43
17301.7254	4890	36.5
24115.5011	4857	20
17202.7287	4856	36.5
11376.3776	4852	31
26022.2936	4849	25.5
18833.2626	4837	37.5
20275.5931	4835	32
21744.9813	4824	22.5
14020.8911	4824	31.5
21891.9063	4819	35.5
24125.7136	4815	30.5
25906.322	4810	27.5
17268.9952	4810	41
21762.9842	4800	22
43657.8805	4797	34.5
12913.6848	4777	25.5
21602.9991	4773	35.5
20646.4591	4770	36.5
32260.702	4768	42.5
10431.7221	4764	36.5
14416.4579	4757	30.5
12031.3813	4734	30.5
21898.8841	4730	35
13615.6724	4728	25
15215.51	4727	35.5
12524.8688	4726	22.5
15648.6455	4723	20.5
25679.1961	4719	25.5
17269.3304	4705	41
33018.2397	4705	42.5
11991.8919	4703	31
22579.5019	4698	30
33098.2311	4689	42
32751.7089	4688	33
16365.3633	4683	31.5
24145.5118	4679	20
25903.4921	4674	42
17252.701	4666	36
15369.5584	4648	35
32083.5994	4644	30
26064.2768	4643	25.5
21770.8602	4630	34.5
17288.7032	4606	36
36070.928	4600	29
24629.9859	4590	43.5
6228.833	4584	38
21908.905	4581	34
22587.9351	4549	23
18852.2536	4539	38
14589.7511	4520	26
41360.511	4519	38
28092.7405	4508	35
13345.3179	4472	33
16365.8682	4454	31.5
32889.6287	4452	31.5
5782.0443	4445	18
14050.8796	4439	31
25904.0096	4429	42
20903.8469	4424	23.5
17269.6682	4422	41
25679.1968	4421	26
22384.496	4417	24
37124.9393	4405	34
11414.1439	4404	22.5
20828.2208	4400	23
20862.4301	4394	35.5
12031.8814	4388	30.5
6883.2799	4387	32
32729.7187	4368	35
9453.8452	4367	18
16498.1217	4342	41.5
32996.2385	4342	43.5
13539.6721	4332	26
41793.8667	4332	40
11532.3588	4324	22.5
16498.6242	4299	41.5
15375.5353	4294	36.5
13906.526	4287	32
33059.217	4279	41.5
18671.3615	4263	38.5
32827.1977	4252	41
20936.8266	4249	22
36004.9646	4223	28
32910.6342	4223	31.5
25825.3438	4221	27
10999.4195	4220	42
19744.052	4218	18
16980.6322	4215	36.5
18752.3368	4203	38.5
13750.5221	4202	33
21909.9175	4191	33.5
18475.5032	4152	43.5
46754.0479	4151	39
6229.156	4141	38
32853.6547	4140	32.5
14103.862	4135	31.5
10926.9774	4128	34.5
10729.2731	4122	42
23922.7981	4120	30.5
20962.4281	4103	36.5
13780.5376	4102	33.5
21847.9299	4097	37
21847.934	4072	36.5
4869.5408	4065	16.5
41896.8421	4063	40.5
36053.9327	4048	28.5
32729.7232	4048	34.5
15397.5635	4039	35.5
28339.4993	4035	41
27579.0539	4030	39
20806.8683	4022	22
10999.0836	4022	42
21803.9769	4021	22.5
13880.5091	4006	32.5
15357.4502	3983	22.5
36025.899	3963	29
6229.504	3963	38
37123.9324	3961	33.5
17767.9069	3960	19.5
9354.9513	3954	11
17188.7268	3953	37.5
30931.7706	3952	28
32729.7175	3945	37
31431.6706	3943	37
18743.9272	3939	28
31329.0435	3918	28
16323.9958	3914	27
32762.7003	3912	31.5
28788.2797	3889	34
28639.6047	3873	32.5
10927.4735	3861	35
11424.3821	3859	31.5
18424.4549	3859	34
10927.4813	3848	34.5
24726.5266	3846	36.5
24022.748	3835	31
13796.5299	3824	29
12505.8564	3819	22
22411.9605	3819	23.5
21993.8675	3810	35
20975.7527	3808	21.5
22587.9347	3797	23.5
27578.5395	3770	39
41844.8442	3758	41
12315.7817	3755	15
29448.0312	3747	27
24110.7147	3746	30.5
15445.9015	3744	28
10927.9719	3743	35
6130.5197	3738	34
20824.8811	3725	23.5
18182.8976	3708	21
14368.5465	3703	30
41813.8671	3685	41.5
21975.841	3675	35
16216.6205	3662	24
12196.7207	3656	13.5
13562.1209	3650	14
33293.3839	3647	42
4395.2001	3640	20.5
12213.8231	3629	21
9164.9996	3629	21.5
17172.7264	3628	36.5
13905.5342	3626	32.5
32729.7374	3617	36
10341.6835	3609	23
18688.3846	3603	40.5
12572.6682	3598	18.5
42942.913	3594	34
17460.9467	3579	31.5
20856.8617	3573	22
6130.1812	3571	34
25904.4873	3571	42.5
17140.8501	3570	33.5
18406.4704	3565	33.5
25868.462	3562	41.5
13960.8514	3561	31.5
32837.7183	3554	33
14698.9444	3551	33.5
32729.7223	3550	36.5
22411.9607	3530	23
18978.4518	3530	38
22511.3959	3523	30
15445.4045	3518	28
21977.8496	3511	34.5
8241.4925	3502	11.5
14251.8167	3502	22
37476.7806	3501	27
9309.922	3499	11
25905.0159	3499	42.5
47208.3061	3491	36.5
9128.9051	3489	11.5
9418.1853	3485	11.5
6130.8389	3477	34
21261.7286	3473	23.5
18658.3629	3464	38
34198.3587	3460	26.5
34874.0513	3452	44
11395.3575	3451	31
8705.7056	3435	21
13781.5251	3432	30.5
32913.6318	3430	32.5
18987.2658	3427	29.5
13796.5244	3416	33
15348.0989	3414	31
15937.4858	3412	25
33013.2433	3407	41
41880.8627	3392	40
21779.0001	3379	23
17264.5312	3370	17
18875.2538	3366	38
20646.4205	3358	36
7788.9441	3354	21
24124.7086	3352	31
20247.1789	3345	33
22679.4799	3343	33
20845.4233	3335	36
23765.1307	3332	36
12177.8585	3330	21
14216.7791	3324	22
11194.4949	3312	23
18644.1709	3307	38
18432.5396	3305	44.5
